"Step","run_uuid: photon-75M-20240909_161333 - metrics/train/LanguageCrossEntropy","run_uuid: photon-75M-20240909_161333 - metrics/train/LanguageCrossEntropy__MIN","run_uuid: photon-75M-20240909_161333 - metrics/train/LanguageCrossEntropy__MAX","run_uuid: diloco-75M-20240905_133735 - metrics/train/LanguageCrossEntropy","run_uuid: diloco-75M-20240905_133735 - metrics/train/LanguageCrossEntropy__MIN","run_uuid: diloco-75M-20240905_133735 - metrics/train/LanguageCrossEntropy__MAX","run_uuid: photon-75M-keep-opt-20240904_163142 - metrics/train/LanguageCrossEntropy","run_uuid: photon-75M-keep-opt-20240904_163142 - metrics/train/LanguageCrossEntropy__MIN","run_uuid: photon-75M-keep-opt-20240904_163142 - metrics/train/LanguageCrossEntropy__MAX","run_uuid: diloco-75M-fedadam-0_00007-20240819_095548 - metrics/train/LanguageCrossEntropy","run_uuid: diloco-75M-fedadam-0_00007-20240819_095548 - metrics/train/LanguageCrossEntropy__MIN","run_uuid: diloco-75M-fedadam-0_00007-20240819_095548 - metrics/train/LanguageCrossEntropy__MAX","run_uuid: diloco-75M-fedyogi-0_00007-20240819_095856 - metrics/train/LanguageCrossEntropy","run_uuid: diloco-75M-fedyogi-0_00007-20240819_095856 - metrics/train/LanguageCrossEntropy__MIN","run_uuid: diloco-75M-fedyogi-0_00007-20240819_095856 - metrics/train/LanguageCrossEntropy__MAX","run_uuid: diloco-75M-20240814_090920 - metrics/train/LanguageCrossEntropy","run_uuid: diloco-75M-20240814_090920 - metrics/train/LanguageCrossEntropy__MIN","run_uuid: diloco-75M-20240814_090920 - metrics/train/LanguageCrossEntropy__MAX","run_uuid: diloco-75M-fedavg-keep-opt-20240813_091613 - metrics/train/LanguageCrossEntropy","run_uuid: diloco-75M-fedavg-keep-opt-20240813_091613 - metrics/train/LanguageCrossEntropy__MIN","run_uuid: diloco-75M-fedavg-keep-opt-20240813_091613 - metrics/train/LanguageCrossEntropy__MAX","run_uuid: diloco-75M-fedavg-20240807_134533 - metrics/train/LanguageCrossEntropy","run_uuid: diloco-75M-fedavg-20240807_134533 - metrics/train/LanguageCrossEntropy__MIN","run_uuid: diloco-75M-fedavg-20240807_134533 - metrics/train/LanguageCrossEntropy__MAX","run_uuid: diloco-75M-cons-20240729_231714 - metrics/train/LanguageCrossEntropy","run_uuid: diloco-75M-cons-20240729_231714 - metrics/train/LanguageCrossEntropy__MIN","run_uuid: diloco-75M-cons-20240729_231714 - metrics/train/LanguageCrossEntropy__MAX","run_uuid: diloco-cen-20240726_121649_centralised - metrics/train/LanguageCrossEntropy","run_uuid: diloco-cen-20240726_121649_centralised - metrics/train/LanguageCrossEntropy__MIN","run_uuid: diloco-cen-20240726_121649_centralised - metrics/train/LanguageCrossEntropy__MAX"
"0","11.842266082763672","11.842266082763672","11.842266082763672","11.861616134643555","11.861616134643555","11.861616134643555","11.745079040527344","11.73826789855957","11.75963020324707","11.856959104537964","11.854646682739258","11.858826637268066","11.800403118133545","11.797881126403809","11.80275821685791","11.770991206169128","11.768658638000488","11.773988723754883","12.041204043797084","12.035693168640137","12.04683780670166","11.804534912109375","11.797860145568848","11.809215545654297","11.960123538970947","11.952192306518555","11.964665412902832","","",""
"1","11.839118957519531","11.839118957519531","11.839118957519531","11.853111743927002","11.846936225891113","11.85928726196289","11.746822595596313","11.734925270080566","11.759422302246094","11.8542160987854","11.849014282226562","11.85854721069336","11.799965620040894","11.795907974243164","11.804912567138672","11.770887851715088","11.76556396484375","11.779441833496094","12.042991002400717","12.040413856506348","12.04787826538086","11.804798364639282","11.801057815551758","11.808781623840332","11.960572481155396","11.955341339111328","11.966063499450684","","",""
"2","11.839076232910156","11.827837944030762","11.843852996826172","11.86851167678833","11.857379913330078","11.879643440246582","11.746357440948486","11.741353988647461","11.756848335266113","11.857815265655518","11.852126121520996","11.861587524414062","11.805170774459839","11.801952362060547","11.807989120483398","11.768556594848633","11.762063026428223","11.774274826049805","12.04160487651825","12.036419868469238","12.046092987060547","11.802851041158041","11.800885200500488","11.805377006530762","11.963050842285156","11.958824157714844","11.966428756713867","","",""
"3","11.8216073513031","11.814657211303711","11.829388618469238","11.83600107828776","11.830856323242188","11.844840049743652","11.738648891448975","11.732645988464355","11.754803657531738","11.843852043151855","11.841032981872559","11.846014022827148","11.787964582443237","11.786767959594727","11.788909912109375","11.758646845817566","11.754676818847656","11.762478828430176","12.029603821890694","12.027153015136719","12.032305717468262","11.78960657119751","11.786724090576172","11.79643440246582","11.950275421142578","11.948813438415527","11.951566696166992","11.766283988952637","11.766283988952637","11.766283988952637"
"4","11.792346477508545","11.790990829467773","11.793702125549316","11.822004318237305","11.822004318237305","11.822004318237305","11.713175058364868","11.698262214660645","11.735636711120605","11.823549509048462","11.820730209350586","11.824992179870605","11.76672625541687","11.761065483093262","11.771072387695312","11.7374587059021","11.73234748840332","11.744955062866211","12.003767490386963","12.000802993774414","12.007048606872559","11.77083937327067","11.769943237304688","11.772207260131836","11.928348183631897","11.923495292663574","11.932738304138184","","",""
"5","11.766417821248373","11.755725860595703","11.778451919555664","11.77696704864502","11.76858139038086","11.786216735839844","11.66881799697876","11.659332275390625","11.674339294433594","11.783706426620483","11.7825288772583","11.785416603088379","11.731144189834595","11.72806453704834","11.73426342010498","11.706091284751892","11.700222969055176","11.709858894348145","11.971221446990967","11.967348098754883","11.975271224975586","11.73293161392212","11.731207847595215","11.734655380249023","11.89301061630249","11.889349937438965","11.896950721740723","","",""
"6","11.728107213973999","11.717098236083984","11.7409029006958","11.727691173553467","11.719932556152344","11.734025955200195","11.632551193237305","11.62984561920166","11.636098861694336","11.73248839378357","11.730810165405273","11.735459327697754","11.685613870620728","11.68400764465332","11.688060760498047","11.661532163619995","11.653989791870117","11.668645858764648","11.92165994644165","11.916425704956055","11.924633026123047","11.69399881362915","11.689118385314941","11.696999549865723","11.847498774528503","11.84250545501709","11.852174758911133","","",""
"7","11.654763539632162","11.642324447631836","11.660996437072754","11.668711185455322","11.655457496643066","11.681964874267578","11.585655689239502","11.578516960144043","11.599958419799805","11.678682565689087","11.675687789916992","11.682229042053223","11.625452280044556","11.622579574584961","11.627315521240234","11.606377601623535","11.602673530578613","11.610621452331543","11.86285130182902","11.857699394226074","11.867111206054688","11.638002077738443","11.636402130126953","11.639836311340332","11.790459394454956","11.7844877243042","11.794671058654785","","",""
"8","11.597699165344238","11.597699165344238","11.597699165344238","11.598519325256348","11.597585678100586","11.59945297241211","11.50850534439087","11.499894142150879","11.51591682434082","11.608850955963135","11.605297088623047","11.612728118896484","11.552438020706177","11.5501127243042","11.553621292114258","11.542252540588379","11.537424087524414","11.549397468566895","11.791958491007486","11.788413047790527","11.794569969177246","11.56921132405599","11.567866325378418","11.570722579956055","11.724752068519592","11.721017837524414","11.730545043945312","","",""
"9","11.506436109542847","11.500433921813965","11.511296272277832","11.509535312652588","11.506258010864258","11.512812614440918","11.44269323348999","11.43170166015625","11.447986602783203","11.524436712265015","11.519393920898438","11.529550552368164","11.475226163864136","11.472426414489746","11.47904109954834","11.464518785476685","11.461736679077148","11.470226287841797","11.711010796683174","11.706232070922852","11.714070320129395","11.494791030883789","11.49335765838623","11.496224403381348","11.644823551177979","11.63992977142334","11.648401260375977","","",""
