"Step","run_uuid: photon-75M-20240909_161333 - metrics/train/LanguagePerplexity","run_uuid: photon-75M-20240909_161333 - metrics/train/LanguagePerplexity__MIN","run_uuid: photon-75M-20240909_161333 - metrics/train/LanguagePerplexity__MAX","run_uuid: diloco-75M-20240905_133735 - metrics/train/LanguagePerplexity","run_uuid: diloco-75M-20240905_133735 - metrics/train/LanguagePerplexity__MIN","run_uuid: diloco-75M-20240905_133735 - metrics/train/LanguagePerplexity__MAX","run_uuid: photon-75M-keep-opt-20240904_163142 - metrics/train/LanguagePerplexity","run_uuid: photon-75M-keep-opt-20240904_163142 - metrics/train/LanguagePerplexity__MIN","run_uuid: photon-75M-keep-opt-20240904_163142 - metrics/train/LanguagePerplexity__MAX","run_uuid: diloco-75M-fedadam-0_00007-20240819_095548 - metrics/train/LanguagePerplexity","run_uuid: diloco-75M-fedadam-0_00007-20240819_095548 - metrics/train/LanguagePerplexity__MIN","run_uuid: diloco-75M-fedadam-0_00007-20240819_095548 - metrics/train/LanguagePerplexity__MAX","run_uuid: diloco-75M-fedyogi-0_00007-20240819_095856 - metrics/train/LanguagePerplexity","run_uuid: diloco-75M-fedyogi-0_00007-20240819_095856 - metrics/train/LanguagePerplexity__MIN","run_uuid: diloco-75M-fedyogi-0_00007-20240819_095856 - metrics/train/LanguagePerplexity__MAX","run_uuid: diloco-75M-20240814_090920 - metrics/train/LanguagePerplexity","run_uuid: diloco-75M-20240814_090920 - metrics/train/LanguagePerplexity__MIN","run_uuid: diloco-75M-20240814_090920 - metrics/train/LanguagePerplexity__MAX","run_uuid: diloco-75M-fedavg-keep-opt-20240813_091613 - metrics/train/LanguagePerplexity","run_uuid: diloco-75M-fedavg-keep-opt-20240813_091613 - metrics/train/LanguagePerplexity__MIN","run_uuid: diloco-75M-fedavg-keep-opt-20240813_091613 - metrics/train/LanguagePerplexity__MAX","run_uuid: diloco-75M-fedavg-20240807_134533 - metrics/train/LanguagePerplexity","run_uuid: diloco-75M-fedavg-20240807_134533 - metrics/train/LanguagePerplexity__MIN","run_uuid: diloco-75M-fedavg-20240807_134533 - metrics/train/LanguagePerplexity__MAX","run_uuid: diloco-75M-cons-20240729_231714 - metrics/train/LanguagePerplexity","run_uuid: diloco-75M-cons-20240729_231714 - metrics/train/LanguagePerplexity__MIN","run_uuid: diloco-75M-cons-20240729_231714 - metrics/train/LanguagePerplexity__MAX","run_uuid: diloco-cen-20240726_121649_centralised - metrics/train/LanguagePerplexity","run_uuid: diloco-cen-20240726_121649_centralised - metrics/train/LanguagePerplexity__MIN","run_uuid: diloco-cen-20240726_121649_centralised - metrics/train/LanguagePerplexity__MAX"
"0","138252.25","137590.859375","138588.03125","138953.4375","138953.4375","138953.4375","126135.927734375","125275.171875","127980.125","141062.78515625","140736.796875","141326.296875","133306.27734375","132970.296875","133620.390625","129442.63671875","129140.8125","129830.9765625","169678.43080357142","168668.953125","170559.203125","134156.68229166666","133639.140625","134486.015625","156393.455078125","155156.921875","157104.328125","131019.453125","131019.453125","131019.453125"
"1","","","","141410.828125","141410.828125","141410.828125","126356.640625","124857.1171875","127953.515625","140677.125","139946.328125","141286.8125","133248.5703125","132708.1875","133908.578125","129430.0390625","128741.7734375","130540.8984375","169772.1049107143","169467.0625","170169.765625","133715.94270833334","133393.390625","134096.4375","156463.416015625","155646.28125","157324.125","","",""
"2","139664.9453125","139210.359375","140119.53125","141121.984375","141121.984375","141121.984375","126295.1171875","125662.3671875","127624.5859375","141184.40625","140382.5","141717.03125","133943.57421875","133512.765625","134321.1875","129128.552734375","128291.8515625","129868.1328125","169558.45572916666","168791.5625","170432.21875","133633.03645833334","133370.359375","133970.78125","156851.32421875","156189.328125","157381.609375","","",""
"3","136175.703125","135279.046875","137072.359375","139025.2109375","137627.609375","140422.8125","125328.39453125","124572.8515625","127363.90625","139226.0078125","138833.828125","139527.09375","131658.26171875","131500.765625","131782.734375","127854.7841796875","127347.75","128345.203125","167649.759765625","167234.625","168098.5625","131614.703125","131545.921875","131683.484375","154859.841796875","154633.546875","155059.890625","","",""
"4","132236.5234375","132057.25","132415.796875","","","","122182.96875","120362.375","124945.9765625","136427.80859375","136043.53125","136624.578125","128892.5859375","128163.9375","129452.8984375","125174.8173828125","124535.6796875","126115.7109375","163279.1674107143","162737.421875","163906.03125","129699.67708333333","129306.8125","130430.5234375","151501.865234375","150767.671875","152167.671875","","",""
"5","129552.5625","129552.5625","129552.5625","130603.77864583333","129130.8359375","131428.296875","116871.935546875","115766.703125","117517.125","131098.875","130944.5078125","131323.1875","124386.267578125","124003.4375","124774.5078125","121309.1865234375","120598.6015625","121766.296875","157952.125","157237.4375","158298.328125","124918.84375","124393.8359375","125443.6171875","146241.3203125","145706.546875","146818.25","","",""
"6","123926.7109375","123926.7109375","123926.7109375","","","","112707.826171875","112402.96875","113108.0546875","124553.42578125","124344.375","124923.8125","118849.71484375","118658.828125","119140.7421875","116023.0517578125","115149.875","116849.953125","150453.10677083334","149705.546875","150939.296875","119963.09765625","119815.0625","120111.1328125","139735.1484375","139038.40625","140389.328125","","",""
"7","116096.9453125","116096.9453125","116096.9453125","117177.5","115319","118416.6796875","107548.08984375","106779.0390625","109093.2578125","118028.97265625","117675.703125","118447.96875","111910.40234375","111589.203125","112118.9453125","109796.0576171875","109389.8671875","110262.7578125","141910.0357142857","141167.078125","142501.984375","113410.37890625","113142.3671875","113670.578125","131987.693359375","131201.25","132544.140625","","",""
"8","107649.91015625","107578.765625","107721.0546875","110682.18359375","108834.7265625","112529.640625","99560.830078125","98705.3203125","100299.5859375","110068.091796875","109677.234375","110495.2890625","104030.462890625","103788.7421875","104153.53125","102976.7890625","102480.1171875","103714.5234375","132113.38392857142","131717.28125","132407.703125","105710.1171875","105647.8125","105772.421875","123593.8427734375","123132.6953125","124311.40625","101117.1953125","101117.1953125","101117.1953125"
"9","99776.08072916667","99613.90625","99877.1171875","100367.12890625","99335.4765625","101398.78125","93219.67578125","92198.734375","93712.484375","101158.447265625","100648.9453125","101676.40625","96300.533203125","96031.0078125","96668.328125","95274.984375","95009.9296875","95819.9609375","121970.47916666667","121325.4765625","122280.1953125","98340.259765625","98062.2421875","98755.2265625","114099.6875","113542.1953125","114508.1484375","","",""
"10","89693.5234375","89693.5234375","89693.5234375","90271.95703125","90178.375","90365.5390625","84707.16015625","84038.2578125","85144.5859375","92370.94140625","91923.6640625","92640.921875","87611.087890625","87164.9765625","88133.34375","87475.2763671875","86889.265625","88628.2734375","111125.69196428571","110513.828125","111798.296875","90211.0390625","90072.7421875","90349.3359375","105027.986328125","104681.296875","105498.5","","",""
"11","81913.97916666667","81124.359375","82728.1875","80242.1171875","80242.1171875","80242.1171875","76068.900390625","74656.3359375","77681.8515625","83304.8671875","82910.7109375","83838.1328125","79351.7578125","78519.0234375","79797.96875","79715.7568359375","78819.5703125","80246.328125","100141.09263392857","99979.5625","100383.4140625","82321.28125","82157.9296875","82567.703125","95491.3984375","95035.3046875","96234.4453125","","",""
"12","73336.71875","72870.6171875","73802.8203125","73167.43359375","72425.265625","73909.6015625","68187.607421875","67366.0234375","69504.453125","74265.5078125","74144.1953125","74417.9140625","71016.732421875","70625.921875","71460.9609375","72026.1455078125","71628.0546875","72819.6171875","89688.72433035714","89117.3125","90526.140625","74034.96614583333","73773.6875","74440.140625","85856.0126953125","85141.65625","86311.9765625","","",""
"13","64786.923828125","63884.296875","66205.3359375","63733.580078125","63106.67578125","64360.484375","61296.794921875","60664.50390625","61704.74609375","66306.787109375","65754.1171875","66805.7734375","63388.7255859375","62968.58203125","63754.4140625","64468.4140625","64054.5625","64750.25390625","79282.27734375","78675.90625","79658.4453125","66704.525390625","66226.9921875","67610.40625","76968.90625","76541.640625","77539.3671875","","",""
"14","58385.0078125","57735.01953125","59034.99609375","57513.599609375","57443.72265625","57583.4765625","54715.4033203125","54048.9296875","55485.859375","58537.134765625","58058.859375","58988","55988.4609375","55697.33984375","56295.87109375","57606.94580078125","56996.63671875","58251.25","69848.4609375","69641.6015625","70212.640625","59177.29296875","58938.5703125","59416.015625","68585.68359375","67944.96875","68872.40625","","",""
"15","50420.3203125","49882.22265625","50958.41796875","51331.7890625","51331.7890625","51331.7890625","49129.2353515625","48200.09765625","49852.21484375","51661.0361328125","51090.52734375","52127.96875","50048.634765625","49538.4296875","50558.37890625","51429.1005859375","50967.79296875","52008.34765625","61173.9912109375","60466.328125","62115.9140625","52927.76953125","52694.5234375","53161.015625","60867.5322265625","60364","61393.35546875","","",""
"16","44872.943359375","44451.80078125","45250.8359375","43984.162109375","43914.9921875","44053.33203125","43004.5234375","42388.30859375","44220.4375","45458.1689453125","45251.484375","45735.8828125","44237.0185546875","44082.5390625","44371.7109375","45884.11083984375","45658.484375","46204.140625","53755.798177083336","53402.1796875","54309.6015625","46926.7685546875","46688.765625","47299.5234375","54341.18310546875","53894.6171875","54907.9296875","","",""
"17","39886.419921875","39651.45703125","40121.3828125","","","","38612.99609375","38222.94921875","38997.94921875","40280.5361328125","40171.69140625","40510.01171875","39984.6171875","39826.7734375","40136.6171875","41116.47607421875","40635.53515625","41394.41796875","47337.38225446428","46875.16796875","47801.65234375","42085.330078125","41853.89453125","42307.171875","48563.2685546875","48125.13671875","48850.42578125","","",""
"18","36150.518229166664","35958.7109375","36306.22265625","","","","34471.640625","33051.390625","35334.234375","35811.7333984375","35598.29296875","36097.83203125","36328.34765625","35871.609375","36815.80078125","37164.49072265625","37011.63671875","37378.34375","41988.7236328125","41636.80078125","42233.19921875","37669.560546875","37318.25390625","37869.4765625","43491.12841796875","42907.9296875","43999.92578125","","",""
"19","32463.450520833332","32037.98828125","33256.97265625","34546.05078125","34546.05078125","34546.05078125","32389.31005859375","31649.30859375","33182.7734375","32334.4736328125","32239.08203125","32542.294921875","33306.04296875","33009.875","33643.60546875","33969.9931640625","33612.65625","34275.1484375","38084.42299107143","37779.11328125","38539.78125","34034.272135416664","33902.81640625","34214.796875","39008.00341796875","38671.734375","39410.109375","","",""
"20","30227.9296875","30227.9296875","30227.9296875","31029.912109375","30607.47265625","31650.9375","29221.10400390625","27974.880859375","30047.1171875","29478.673828125","29086.388671875","30086.373046875","30510.43408203125","30191.9765625","31089.0859375","31453.25390625","31121.30078125","31974.408203125","34799.9541015625","34470.98046875","35454.94140625","30904.3115234375","30444.041015625","31364.58203125","35175.97314453125","34795.22265625","35821.4921875","","",""
"21","27225.216796875","26511.357421875","27939.076171875","29101.8916015625","28663.013671875","29540.76953125","27639.58056640625","27361.736328125","28085.068359375","27403.64013671875","27226.771484375","27534.447265625","28344.34228515625","28268.0078125","28485.453125","29337.35693359375","28701.5","29786.576171875","32417.81396484375","32113.513671875","32619.9140625","28500.953776041668","28344.970703125","28761.673828125","32319.345703125","31709.4296875","32814.83203125","","",""
"22","","","","27164.7724609375","27162.08984375","27167.455078125","25960.158203125","25290.365234375","27372.828125","25274.90576171875","25086.328125","25535.58203125","26568.6171875","26407.041015625","26925.357421875","27251.190185546875","26824.119140625","27539.990234375","29906.858537946428","29646.548828125","30187.654296875","26608.619140625","26327.95703125","26773.94921875","30041.956298828125","29606.712890625","30372.615234375","","",""
